id,created_at,updated_at,station_id,obs_datetime,temperature,relative_humidity,wind_speed,wind_direction,pressure,rainfall
1,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-01T09:00:00+00:00,27.0,30.0,2.06,,,0.0
2,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-01T12:00:00+00:00,,20.0,,,,
3,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-01T15:00:00+00:00,,24.0,,,,
4,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-01T06:00:00+00:00,,40.0,,,,
5,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-02T09:00:00+00:00,27.25,25.0,2.06,,,0.0
6,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-02T12:00:00+00:00,,17.0,,,,
7,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-02T15:00:00+00:00,,18.0,,,,
8,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-02T06:00:00+00:00,,44.0,,,,
9,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-03T09:00:00+00:00,28.25,20.0,3.09,,,0.0
10,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-03T12:00:00+00:00,,18.0,,,,
11,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-03T15:00:00+00:00,,17.0,,,,
12,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-03T06:00:00+00:00,,25.0,,,,
13,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-04T09:00:00+00:00,28.05,29.0,2.06,,,0.0
14,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-04T12:00:00+00:00,,15.0,,,,
15,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-04T15:00:00+00:00,,15.0,,,,
16,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-04T06:00:00+00:00,,33.0,,,,
17,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-05T09:00:00+00:00,27.35,22.0,1.54,,,0.0
18,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-05T12:00:00+00:00,,16.0,,,,
19,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-05T15:00:00+00:00,,17.0,,,,
20,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-05T06:00:00+00:00,,39.0,,,,
21,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-06T09:00:00+00:00,27.75,34.0,2.06,,,0.0
22,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-06T12:00:00+00:00,,13.0,,,,
23,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-06T15:00:00+00:00,,17.0,,,,
24,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-06T06:00:00+00:00,,20.0,,,,
25,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-07T09:00:00+00:00,28.950000000000003,23.0,3.09,,,0.0
26,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-07T12:00:00+00:00,,17.0,,,,
27,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-07T15:00:00+00:00,,17.0,,,,
28,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-07T06:00:00+00:00,,35.0,,,,
29,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-08T09:00:00+00:00,28.55,35.0,2.06,,,0.0
30,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-08T12:00:00+00:00,,17.0,,,,
31,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-08T15:00:00+00:00,,15.0,,,,
32,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-08T06:00:00+00:00,,40.0,,,,
33,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-09T09:00:00+00:00,28.3,20.0,2.06,,,0.0
34,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-09T12:00:00+00:00,,15.0,,,,
35,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-09T15:00:00+00:00,,16.0,,,,
36,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-09T06:00:00+00:00,,31.0,,,,
37,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-10T09:00:00+00:00,27.5,32.0,1.03,,,0.0
38,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-10T12:00:00+00:00,,17.0,,,,
39,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-10T15:00:00+00:00,,16.0,,,,
40,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-10T06:00:00+00:00,,53.0,,,,
41,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-11T09:00:00+00:00,29.25,23.0,2.06,,,4.0
42,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-11T12:00:00+00:00,,18.0,,,,
43,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-11T15:00:00+00:00,,17.0,,,,
44,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-11T06:00:00+00:00,,26.0,,,,
45,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-12T09:00:00+00:00,29.25,20.0,2.57,,,0.0
46,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-12T12:00:00+00:00,,14.0,,,,
47,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-12T15:00:00+00:00,,14.0,,,,
48,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-12T06:00:00+00:00,,25.0,,,,
49,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-13T09:00:00+00:00,28.75,19.0,3.6,,,0.0
50,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-13T12:00:00+00:00,,12.0,,,,
51,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-13T15:00:00+00:00,,12.0,,,,
52,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-13T06:00:00+00:00,,22.0,,,,
53,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-14T09:00:00+00:00,28.75,19.0,2.06,,,0.0
54,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-14T12:00:00+00:00,,14.0,,,,
55,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-14T15:00:00+00:00,,13.0,,,,
56,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-14T06:00:00+00:00,,21.0,,,,
57,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-15T09:00:00+00:00,26.7,18.0,2.57,,,0.0
58,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-15T12:00:00+00:00,,15.0,,,,
59,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-15T15:00:00+00:00,,15.0,,,,
60,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-15T06:00:00+00:00,,47.0,,,,
61,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-16T09:00:00+00:00,28.1,21.0,2.06,,,0.0
62,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-16T12:00:00+00:00,,16.0,,,,
63,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-16T15:00:00+00:00,,18.0,,,,
64,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-16T06:00:00+00:00,,27.0,,,,
65,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-17T09:00:00+00:00,27.5,23.0,2.57,,,0.0
66,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-17T12:00:00+00:00,,16.0,,,,
67,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-17T15:00:00+00:00,,17.0,,,,
68,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-17T06:00:00+00:00,,28.0,,,,
69,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-18T09:00:00+00:00,27.0,22.0,3.09,,,0.0
70,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-18T12:00:00+00:00,,15.0,,,,
71,2026-01-07 19:30:33,2026-01-07 19:30:33,37,2024-01-18T15:00:00+00:00,,14.0,,,,
